Number,MeanGap,NB_r,NB_p,LR_chi2,p
1,9.11,1.22,0.118,-16.5,1.0
2,9.69,1.46,0.131,-9.18,1.0
3,10.19,1.26,0.11,-12.76,1.0
4,10.15,1.74,0.146,-11.42,1.0
5,11.74,0.94,0.074,-13.81,1.0
6,9.6,1.16,0.108,-16.48,1.0
7,9.4,1.64,0.149,-11.12,1.0
8,9.62,1.42,0.129,-12.62,1.0
9,9.3,1.56,0.144,-9.37,1.0
10,10.54,0.92,0.08,-16.31,1.0
11,8.79,1.37,0.135,-13.26,1.0
12,10.2,0.92,0.083,-18.99,1.0
13,9.58,1.47,0.133,-8.85,1.0
14,9.56,1.19,0.111,-14.67,1.0
15,9.47,1.39,0.128,-8.71,1.0
16,8.99,1.25,0.122,-17.15,1.0
17,8.71,1.45,0.143,-12.59,1.0
18,9.26,1.24,0.118,-16.18,1.0
19,9.7,0.93,0.088,-20.25,1.0
20,8.22,1.42,0.147,-17.68,1.0
21,9.33,1.53,0.141,-12.31,1.0
22,10.15,1.32,0.115,-11.27,1.0
23,9.4,1.38,0.128,-8.71,1.0
24,10.23,0.87,0.079,-17.01,1.0
25,11.5,1.1,0.088,-11.2,1.0
26,10.63,2.07,0.163,-1.04,1.0
27,11.81,1.45,0.11,-7.39,1.0
28,10.99,1.26,0.103,-9.51,1.0
29,9.99,1.19,0.106,-12.59,1.0
30,9.35,1.12,0.107,-17.72,1.0
31,10.06,1.14,0.102,-14.2,1.0
32,9.73,1.49,0.132,-9.71,1.0
33,10.8,1.06,0.09,-13.91,1.0
34,8.63,2.21,0.204,-4.21,1.0
35,9.1,1.75,0.161,-10.8,1.0
36,11.13,1.54,0.121,-5.05,1.0
37,10.57,0.99,0.086,-15.87,1.0
38,9.56,1.39,0.127,-12.47,1.0
39,9.46,1.32,0.122,-10.52,1.0
40,10.44,1.14,0.099,-12.53,1.0
41,9.56,1.16,0.108,-16.24,1.0
42,10.85,1.27,0.105,-8.81,1.0
43,9.98,1.66,0.143,-6.24,1.0
44,10.19,1.1,0.097,-15.32,1.0
45,9.81,1.07,0.099,-16.74,1.0
46,9.99,1.25,0.111,-14.09,1.0
47,10.27,1.28,0.111,-11.97,1.0
48,12.86,1.9,0.129,-1.24,1.0
49,8.34,1.61,0.162,-9.16,1.0
50,11.42,0.96,0.078,-13.26,1.0
